estonian,english
alguses,at the beginning
perset,ass
lugesin,I read
tapavad,kill
emily,emily
kavatsen,I plan to
arvas,thought
löön,smithereens
lahkume,leave
toru,pipe
vägev,mighty
matt,mat
millele,to what
kauaks,for long
selgitada,to explain
kindlaks,identified
hakkasin,started
tõepoolest,indeed
nõbu,cousin
jäävad,stay
ideaalne,ideal
suren,die
ryan,ryan
riigi,country
tulite,you came
meeldid,likes
leedi,lady
jenny,jenny
kannab,carries
sitta,shit
käskis,ordered
andesta,forgiveness
vajavad,need
sõidame,drive
poega,sons
poissi,boys
prantsuse,French
vaatab,looks
tapeti,was killed
iialgi,ever
omadega,ones
käsk,command
maale,ashore
helistama,call
paps,EAA
jätnud,leave
san,San
lõpetan,quit
chuck,Chuck
jala,on foot
vanad,old
hing,hinge
parandada,fix
siiapoole,this side
sured,die
kirjutas,wrote
tänatud,Thank
häbi,shame
film,film
suremas,dying
hmm,hmm
hõivatud,occupied
vean,Vean
asjadest,things
aeglaselt,slowly
lubasin,I promised
vot,vot
paika,place
seisa,downtime
suletud,closed
õieti,properly
jõudma,reach
ootavad,waiting
töötanud,worked
toimus,took place
minut,minute
kuskile,to some place
tsau,Hi
de,de
räägitakse,they say
haiglas,in the hospital
teineteist,each other
jalg,leg
kauem,longer
pakun,Hospitality
unustanud,forgotten
omavahel,between us
toime,effect
uusi,new
asjaga,thing
süsteemi,the system
meeldinud,liked
meelega,on purpose
tänulik,thankful
kuul,ball
lubatud,allowed
prints,prince
larry,Larry
lubasid,promised
und,und
saladus,secret
uurida,explore
tänada,thank
advokaat,lawyer
toit,food
kujuta,pose
korraga,at a time
esimesel,first
relvi,weapons
kristus,Christ
kaduge,Get lost
kuulete,hear
tapsin,killed
tüdrukuga,girl
arvestades,considering
tähtsam,major
jõudis,reached
sinine,blue
sorti,sort of
otsustada,decide
avatud,open
helistasin,called
sean,sean
voodis,in bed
tuttav,familiar
igav,dull
üritas,tried
raamatu,book
piiri,boundary
küsid,you ask
jätma,leave
ela,ela
lasknud,let the
käisid,visited
mehele,husband
süütu,innocent
pete,pete
juhtida,draw
kirjuta,write
pagana,heathen
vaat,barrel
päralt,hers
õppima,learn
rahva,People's
armastust,endearing
avage,Open the
põrgusse,hell
tõbras,beast
helistab,calls
veeta,to spend
hirmu,fear
vittu,cunt
hakkasid,started
rooma,Rome
senaator,senator
unustada,to forget
millist,which
voodi,bed
avada,open
pikka,long
kaotasime,lost
kiirelt,quickly
nimelt,namely
püksid,shorts
teade,message
meetrit,meters
meelt,your mind
jerry,Jerry
lood,stories
soovitan,Recommend
rase,pregnant
juhib,leads
sõbrake,pal
proovime,try
uskunud,believed in
pomm,bomb
ootad,look
müüa,for sale
jackson,jackson
tähtsust,the importance of
lõpus,At the end of
surnuks,death
kutsusid,invited
mõju,effect
naisele,"wife,"
leiti,was found
koheselt,immediately
kass,cat
tühjaks,blank
tõestada,to prove
juhuks,case
aitad,help
igavene,everlasting
hoolitsen,take care
üllatunud,surprised
teele,path
hiljuti,recently
igatsen,miss
tulevikku,the future
jube,creepy
ohutu,harmless
kasutab,uses
vaeva,effort
kõht,belly
väikesed,small
paista,excel
tulevik,future
peole,to the party
naiste,women's
mängime,play
sõnum,message
reeglid,rules
kaotasid,Lost
päike,Sun
kaotas,lost to
surevad,die
märk,mark
perses,fucked
kood,code
tükk,piece
komandör,commander
armastuse,love
hindan,appreciate the
lubage,Allow
jagu,section
värava,the gate
los,los
vedas,lucky
peata,headless
kummaline,strange
nojah,well
saadab,sending
jätkata,continue
võtavad,take
nagunii,anyway
tyler,tyler
asjast,thing
osav,dexterous
seisab,stands
suudame,we can
kõikide,all
sõdurid,troops
rääkige,tell
ajalugu,history
roni,Roni
lööb,hits
lois,Lois
vali,loud
tulistada,shoot
jätame,reserve
teistele,to others
mängid,play
luua,create
veab,lucky
rääkides,speaking
lugenud,read
abielluda,marry
takso,taxi
isiklik,personal
kraami,stuff
samamoodi,similarly
seina,wall
lõksu,trap
parema,better
eric,eric
küljest,"hand,"
kõikjal,everywhere
pealik,headman
venda,venda
valgus,light
Scott,Scott
helistanud,call
juhtum,case
sellisel,In this
justkui,as if
olukorda,situation
päästsid,saved
tõmmata,pull
turvaline,secure
põlema,burn
tuju,mood
Jason,Jason
saaksite,could
el,The EU
veini,wine
päevad,days
klassi,the class
Martin,Martin
jõule,Christmas
tapad,kill
piisab,enough
kuulus,famous
rühm,group
püüab,tries
perekonda,genus
info,information
keel,language
elas,lived
autoga,by car
vastik,abominable
arvuti,computer
keelatud,prohibited
teises,another
endine,former
tunde,feeling
sara,sara
käivad,go
vanem,parent
pisike,tiny
küsis,asked
sõnumi,the message
lähedale,close
kasutama,use
Serena,Serena
Brian,Brian
külla,visit
oletan,suppose
kana,hen
reegleid,about
suhe,relationship
kutsuvad,call
viha,wrath
elame,live
Lucy,Lucy
jõuan,I get
saatsid,sent
kuulama,listen
nõu,counsel
seletada,explain
püüdsin,tried
puudu,missing
sinuta,without you
tehakse,do
kuninga,the king
koletis,monster
ütlesite,said
sõitma,ride
side,communication
ütleksin,would say
rodney,Rodney
beebi,baby
ilusad,beautiful
olegi,Oleg
sooviks,would like
liialt,too
saabub,arrives
riideid,clothes
täiega,täiega
valitsus,government
päästis,saved
doc,DOC
rahunege,chill out
kordan,I repeat
tunnistama,witness
thomas,Thomas
kõigist,all
alasti,naked
simon,Simon
ohus,at stake
kohanud,come across
huvi,interest
pruugi,might
sihtmärk,target
dawson,dawson
majesteet,majesty
ha,ha
sinusse,Thee
sammu,steps
aimu,idea
võiksite,you may want to
koguaeg,all the time
liikuda,to move
absoluutselt,absolutely
toimib,works
lastele,for kids
palli,ball
määratud,appointed
nüüdsest,from now
päästma,save
hoolitse,caring
vaikust,silence
Edward,Edward
abil,with
victor,Victor
nimekirja,list
peatu,stop
astuge,come on
magab,sleeps
valitsuse,governmental
segada,mix
mõrva,murder
rose,Rose
kott,bag
astuda,take
näeks,would look
pilte,pictures
loodame,hope
käin,go
üldsegi,not at all
tohib,can
nägite,Seen
jätab,leaves
vene,Russian
töötama,work
istet,seat
millise,what kind of
mõtleb,thinks
muretsege,worry
kyle,kyle
teiseks,second
otsinud,searched
sobi,fit
politseisse,cops
võitlema,fight
kanna,wear
earl,Earl
kraam,stuff
Phil,Phil
kannad,wearing
kohast,from
vaadanud,looked
maitse,taste
õe,sister
lubas,promised
partner,partner
mõtteid,thoughts
luke,Luke
poisu,kid
hullemaks,worse
segaduses,confused
maga,sleeps
masin,machine
luku,lock
siga,pig
aamen,amen
ai,ouch
omal,own
terekest,Howdy
valeta,lie
sündinud,born
visata,throw
kiri,letter
raamatut,book
varastas,stole
kohtu,court
suures,great
pahaks,objectionable
läheduses,nearby
vaenlane,enemy
ruumis,the room
algus,beginning
se,SE
mõeldud,thought
veelkord,again
nuga,knife
minagi,I also
proovisin,tried
hirmus,fearful
don,Don
vanamees,old man
metsa,forest
saatke,send
jagada,share
reegel,rule
muutuvad,change
õrna,gentle
õnnestus,succeeded
tapja,killer
õnneks,Luckily
silm,eye
amy,amy
jones,jones
tunded,feelings
asjadega,things
energia,power
kohtusime,met
sõltub,depends
parimat,the best
õppinud,learned
jõuad,can
nimed,names
paluda,to ask
algas,began
viimaks,finally
lootust,hope
kindlad,certain
km,km
vajate,need
värav,gateway
hoiame,keep
kandma,wear
saatsin,sent
ürita,try
mõrvar,murderer
silmi,eyes
inimestest,people
meelest,forgot
laulu,the song
võitlus,fight
relvastatud,armed
annie,annie
meeskonna,crew
ostsin,I bought
eksinud,lost
sõrmus,ring
juhtuks,would happen
kraadi,degrees
roheline,green
kutti,guy
vaevu,barely
närvis,freaked
juhtuma,happen
teenida,earn
halvad,bad
lendab,flies
peo,feast
ida,east
teistsugune,different
lõppu,the end
vaikne,quiet
häda,woe
lahkub,leaves
kaitstud,sheltered
ted,Ted
tundsid,knew
märganud,Noticed
ajama,put forth
loeb,reads
ettevaatlikult,carefully
pildi,picture
nr,No
aitas,helped
muusikat,music
loen,read
kõrini,fed up
vahepeal,meanwhile
armasta,love
munad,eggs
otsustasin,I decided
seejärel,then
saadeti,sent
niikuinii,anyway
ross,ross
kodust,home
tulete,coming
kuradile,the devil
mitmeid,many
muuda,change
kasutas,used
uksed,doors
viisil,in a way
teagi,know
vaenlase,enemy
kõrge,high
vapper,brave
temale,him
ed,s
dna,dna
joosta,run
signaali,signal
semud,mates
seljas,wearing
kutsuge,call
sittagi,shit
üheks,one
öeldi,was told
palusin,I asked
sada,hundred
rong,train
hoogu,momentum
adam,adam
valetad,You `re lying
ülemus,boss
hoiad,hold
kirjutatud,written
pidama,keep
kahekesi,two people
õigel,right
treener,trainer
kohutavalt,terribly
alice,alice
mm,mm
hoolimata,in spite of
jõuluvana,Santa Claus
pandud,laid
öeldakse,they say
kohad,places
vastust,answer
sõidab,drives
kohtumine,appointment
koostööd,cooperation
türa,dick
kujutada,conceive
töötavad,working
samm,step
tükki,piece
saksa,German
lõid,created
erinev,different
hullumeelne,mad
suitsu,the smoke
paska,shit
surid,died
tundu,seem to
tegeleb,deals with
käid,thoroughfares
otsivad,looking
ärme,let's
läki,let us go
mälu,memory
teoksil,afoot
tagumik,ass
lõpetame,end up
ent,however
loogiline,logical
geenius,genius
puudub,missing
jääks,would
küsimusele,the question
seksikas,sexy
pildid,Pictures
öeldud,said
ääres,on
leo,leo
sõidan,drive
ühtki,any
jätad,leave
kuue,the six
teilt,from you
niikaua,so long
räpane,messy
aina,ever
kirjutan,I write
vasak,left
kool,school
kevin,kevin
jookseb,runs
planeedil,the planet
puutub,Concerning
pommi,bomb
kotti,bags
sünnipäev,birthday
vastata,answer
nägime,saw
dollari,dollar
otsekohe,right now
osas,part
planeedi,planet
tantsida,to dance
kohtasin,I met
saadik,ambassador
seetõttu,therefore
jumalat,god
ootasin,waited
frodo,Frodo
suhu,in the mouth
seks,Sex
isik,person
proovinud,tried
küsinud,asked
usaldama,trust
teema,theme
karu,cart
hingata,to breathe
kenad,pretty
algusest,from the beginning
eesmärk,goal
vahetada,exchange
tõuseb,rises
annaks,to give
yorki,York City
istub,sits
loodud,created
tuleksid,to come
tuhandeid,thousands
jeff,Jeff
õnnelikud,be happy
tundeid,sentiments
saabus,arrived
mujale,elsewhere
õnnelikuks,happiness
leiavad,find
blair,blair
teal'c,Teal'c
reisi,tour
julgust,courage
toome,Toome
mult,mult
kasutan,use
oleksite,had
panevad,make
lõppenud,finished
muutis,changed
roy,roy
vinge,awesome
igas,each
mure,concern
elusalt,alive
jõudsin,arrived
muudkui,just keep
barry,Barry
kandis,wore
nõuab,requires
mingid,some
nõrk,weak
sõitis,drove
niigi,already
näo,facial
miljon,million
lõhna,odor
kaome,Let's get out
teisest,other
samad,same
kaduma,vanish
informatsiooni,information
õigust,right
daam,lady
kokkulepe,agreement
võisid,could
vedada,tow
klient,customer
olukorras,situations
niipalju,so much
kutsuma,call
kohtunik,judge
otsuse,decision
ärkvel,awake
põhjusel,reason
stopp,stop
jõudsid,arrived
jalgu,legs
bruce,bruce
jumalale,god
tutvustada,to introduce
seas,among
keskel,in the middle of
koti,bag
lõpetasin,I finished
raadio,radio
hoolt,take care
niipea,as soon as
tehti,was
rahvast,people
millel,with
tagumikku,butt
fakt,fact
harjunud,accustomed to
laura,laura
jätkake,continue
taevast,heaven
kuulsite,heard
otsisin,was looking for
aastad,years
õpetas,taught
bussi,bus's
hoone,building
südant,heart
süsteem,system
york,new york
jätkub,continues
hädas,trouble
võit,victory
lennuki,plane
viisi,in
värvi,color
Susan,Susan
tõelist,real
tulistage,shoot
igat,all
lülita,Turn off
numbri,number
pall,ball
kartsin,dreaded
punkti,points
unustage,remember
jumalad,the gods
järjekordne,sequent
saagi,yield
seksi,sex
energiat,power
carl,carl
kelleks,who
kannan,wear
inimestel,people
möödunud,bygone
suurepäraselt,famously
vanemate,parents
õhtusöök,supper
õnnitlused,congratulations
mõtles,thought
ajan,Ajan
Randy,Randy
kaugemale,farther
mujal,elsewhere
mõneks,few
tütart,daughters
teretulemast,welcome
future,Future
pardal,on board
söönud,Eating
äge,awesome
tuntud,well-known
valetaja,liar
Monica,Monica
lõpu,the end
võitja,winner
aadress,address
tonni,tons
tegeled,doing
nähes,seeing
jess,Jess
kaitsma,protect
vaadates,looking
Lily,Lily
kirjutasin,wrote
tähendama,mean
tõendeid,evidence
jooksis,ran
annavad,give
noo,noo
püüda,try
ust,ust
õppisin,learned
vihkab,hated
leitud,found
Marty,Marty
paljude,many
kasutasid,used
arvasime,thought
sinagi,you too
sööme,eat
lõksus,trapped
tapke,kill
seljast,get off
sekundi,seconds
sõjas,the war
kahtlen,I doubt
kutsume,call
käskisin,commanded
klubi,club
hirm,fear
järsku,suddenly
sust,of
mängus,in play
sügavalt,deeply
võidab,beats
fantastiline,fantastic
kallale,on
muljet,impressed
rikkuda,ruin
muretseda,worry
kohus,court
igale,each
tim,tim
Phoebe,Phoebe
missioon,mission
väiksed,small
Anne,talent
taala,bucks
tekitab,creates
tehnoloogia,technology
unustasid,forgot
korrusel,ground floor
arutada,discuss
päevas,per day
ilusat,beautiful
tüli,row
kordi,of times
mõistlik,reasonable
haavatud,wounded
pardale,on board
roger,roger
koerad,dogs
tasu,fee
nimekirjas,on the list
viid,out
löök,blow
miljoni,million
kasutame,we use
imeilus,delightful
ülikooli,University
olemegi,we have
akna,window
nõid,witch
laul,song
vältida,to avoid
rongi,train
marcus,Marcus
seista,to stand
ostan,I buy
sse,into
maria,Maria
keri,Keri
sellises,such a
uurima,To investigate
eksid,wrong
maganud,slept with
soe,warm
jätkame,continue
eelnevalt,previously
kenasti,nicely
paras,right
küla,village
naudi,enjoy
elud,lives
õiglane,equitable
palu,ask
vajuta,press
istun,sitting
kaotad,will lose
frankie,Frankie
kontrollin,Checking
kuulu,included
närvi,nerve
kasvõi,least
vaatas,looked
õiget,correct
kohtus,court
smith,Smith
kergelt,lightly
mõlemaid,both
kingad,shoes
tüübid,types
mõõk,sword
presidendi,presidential
yeah,yeah
peksa,beating
ütlete,you say
külma,the cold
kümne,ten
samasugune,same
selgelt,clearly
Katie,Katie
aknast,window
erinevad,different
sg,sg
topelt,double
Jesse,Jesse
küsimuse,the question
armastavad,love
tulistas,was shot
koolist,from school
liige,member
kirjutama,write
lend,flight
helistasid,call
mängin,playing
kõnet,call
kompanii,company
lahkusid,departed
kutsud,call
lubad,promise
mõistate,will understand
lääne,the west
lõpeb,ends
valgust,light
puudutab,touches
usub,believes
O'Neill,O'Neill
üritanud,attempted
järgmiseks,the next
argpüks,Coward
ehitada,to build
äärmiselt,extremely
hüva,okey
reis,tour
sõprade,friends
kuju,shape
Louis,Louis
täpsemalt,specifically
otsustas,decided
istuma,sit down
võeti,was
mõistus,intellect
püüdis,catch
noormees,young man
tükkideks,to pieces
hotellis,in the hotel
õhk,air
korraldada,to organize
tegelema,deal
kiirabi,ambulance
räägiks,speak
pidasin,I thought
suuri,great
võitle,fight
proovima,try
Andrew,Andrew
nurga,the corner
Jackie,Jackie
õlu,beer
musi,musi
käisime,we went
kumb,which
lõbu,fun
muret,concern
külalised,guests
kontroll,inspection
aitaks,help
kaupa,by
võim,power
ausus,honesty
ohver,victim
temas,in him
operatsiooni,surgery
mehel,husband
kohting,date
ametlikult,officially
pahane,displeased
sööb,eats
vaim,spirit
osanud,could
alal,the field
vangla,prison
unistus,dream
korralik,decent
üksik,single
toa,the room
lasti,load
sureme,die
lind,bird
metsas,in the forest
mäletate,recall
muutuda,change
tekib,appears
hind,price
õpetada,teach
saarel,the island
veelgi,even
võimalusi,opportunities
nendele,them
teadnudki,knew
vang,prisoner
lõppeb,ends
nimekiri,list
loota,count
täita,fill
endal,own
meeldima,like
lasevad,shooting
kohaselt,according to
Julie,Julie
aa,AA
kuti,Kuti
vanglasse,prison
selliste,of
kaob,disappears
aadressi,address
juhtumi,case
murda,break
kasutavad,use
piinlik,embarrassing
üksteise,each other's
varjata,conceal
küllap,probably
tundis,knew
teadlik,conscious
külaline,visitor
kukub,falls
põhimõtteliselt,fundamentally
kuulan,listen to
cia,cia
jen,jen
kasvab,grows
vere,blood
näitama,show
värki,stuff
loomad,animals
põgenes,fled
veenda,to convince
super,Super
kel,who
talt,from him
sõpradega,with friends
haigla,hospital
alusta,Get Started
otsustanud,decided to
asjas,case
võimalikult,as
saatnud,sent
kardab,fears
unenägu,dream
elizabeth,elizabeth
aaron,aaron
kole,hideous
tuleviku,the future
tegeleda,deal
päevaks,day
saatma,accompany
tol,cus
esitada,submit
pakub,offers
liigutada,move
isal,father
kasutanud,exercised
jookske,Run
soov,wish
riik,country
võitis,won
klassis,the class
rikas,rich
varastasid,stole
tuul,wind
varastatud,stolen
õel,bitchy
mõtlete,thinking
tüdrukuid,girls
viivad,lead
seest,from
pääses,escaped
lahkunud,departed
sellisena,"as such,"
kuri,wicked
noored,young
hullumeelsus,insanity
küsib,asks
lendas,flew
eeldan,assume
lapsuke,baby
mõtleme,think
lahendada,solve
muljetavaldav,impressive
laip,corpse
tänane,today's
päikese,the sun
lootus,hope
pluss,plus
kõrgeausus,highness
juhuslikult,randomly
vaatasid,looked
kavatseb,intends
saati,since then
lihtsam,easier
naela,Pounds
olemine,being
võimed,abilities
ookeani,Ocean
toidu,food
kaotame,losing
hoidis,kept the
vedanud,carried
laud,table
maksis,paid
planeet,planet
kasulik,helpful
tänava,the street
nahka,skin
uksest,the door
kohtusin,I met
lõpetad,finish
sunni,enforced
anti,anti
liiguvad,move
kinnitan,confirm
kelly,kelly
klaasi,glass
ilmselgelt,obviously
järjest,in succession
temal,she
otsige,Go to
küsimused,questions
ilmus,appeared
reede,Friday
rahus,in peace
küljes,adherent
märki,mark
südames,heart
arvame,think
kilo,kilo
väheke,a little bit
mõtted,thoughts
tervet,healthy
langeb,falling
vastuseid,replies
toonud,brought
tood,jobs
töötasin,Worked
sõnul,According to
ostma,buy
püüame,try to
tast,tast
varastada,stealing
neeger,nigger
numbrit,digits
armastas,loved
minuta,me
jõuavad,arrive
kirjutanud,wrote
sünnipäevaks,for birthday
piloot,pilot
ingel,angel
leidsite,taking the
tibi,chick
ülem,chief
nõukogu,council
seoses,in connection with
nõme,ignorant
sõbraga,friend
kuulanud,hearkened
kingi,shoes
läheksid,go to
kõndida,to walk
haiseb,stinks
jõe,the river
keerata,turned
lastega,children
magasid,slept
jalgpalli,football
esimesed,first
valetasid,lied to
mõistuse,the mind
lahkud,leave
muutu,change
käega,by hand
päevaga,day
tõelise,real
sea,porcine
terry,Terry
teistest,other
operatsioon,operation
lõks,trap
relvaga,weapon
tunnistaja,witness
lennujaama,airport
hoor,whore
püsige,Stay
onju,is not it
tõmmake,pull
minusse,me
omaenda,own
armastasin,loved
võitnud,won
lolli,stupid
ostis,bought
tšau,Hi
tehes,making
jõudsime,we came
morgan,morgan
grace,Grace
hulgas,among
kuritegu,crime
hakanud,started
söön,eat
jooksma,run
paneks,tasking
niiet,so
sadu,rain
brad,brad
uurin,I shall
juhataja,head
tänaseks,for today
inspektor,inspector
vihje,tip
lõpetab,finishes
maggie,Maggie
kontoris,in the office
vigastatud,damaged
tobe,silly
juukseid,the hair
missiooni,mission
teooria,theory
süüdista,accused
üritame,trying to
is,is
oht,threat
vastavalt,respectively
viskas,threw
takistada,prevent
saladusi,secrets
viisid,ways
hoiavad,keep
poodi,shop
saadame,send
tegele,deal
kaota,lose
tapetud,killed
kaarti,map
kartma,to be afraid of
vahi,custody
korter,apartment
suudavad,are able to
mõningaid,some
loom,animal
and,gift
omanik,owner
kontrollima,check
maitseb,tastes
värske,fresh
kaitseb,protects
ohh,ohh
vabaduse,freedom
kleit,dress
ründas,attacked
õnnitlen,congratulations
näitas,showed
vaatavad,watching
red,Red
uuri,Explore
vigu,mistakes
põrgus,Hell
valvurid,guards
tunnistada,to declare
reamees,soldier
andestust,forgiveness
sega,mixed
väljapääsu,exit
kassi,cat
cole,cole
käitu,behave
programmi,program
laiba,the corpse
korteris,in the apartment
julia,julia
kulub,It takes
käsu,command
lugusid,stories
võimalused,opportunities
helistad,call
üritavad,trying to
tulevikus,in future
hirmunud,terrified
õnnestub,succeeds
pakkumine,offer
dick,Dick
testi,test
ütleksid,tell
ilmub,appears
lõin,created
bella,bella
laenata,borrow
kent,kent
kuuma,hot
keskendu,focus
vastutav,responsible
lepingu,agreement
kaval,sly
keele,the language
piima,milk
paluma,implore
sellelt,this
süüdistada,to blame
salajane,secret
filmis,the movie
tuttavaks,Meet
tööst,the work
saladust,secret
pariisi,Paris
täht,star
hobune,horse
usku,faith in
mõlema,either
abiks,help
õpilane,student
kasuks,for benefit
trikk,trick
emal,more
rõõmu,joy
sõidad,you drive
baasi,the base
wayne,wayne
kohtusse,court
murtud,broken
valetab,lies
aastast,year
andmed,information
linnapea,mayor
hambad,teeth
ravi,treatment
nahk,leather
neljas,fourth
laseks,shoot
tapame,kill
särk,shirt
sally,sally
poolest,in terms of
pika,long
järgne,office
kasvanud,grown
korista,Clean up
jaapani,Japanese
kasutu,useless
võitsin,won
sooja,hot
lugema,read
käske,commands
õigeks,right
kuniks,as long as
tegija,maker
helistage,call
mõrv,murder
järgmisena,next
pääseb,access
vince,Vince
töölt,from work
tehing,deal
poe,shop
ameerikas,America
eksisin,was wrong
koodi,code
kontorisse,office
julge,courageous
ilusti,nicely
tulekahju,fire
põnev,exciting
maksad,you pay
alustan,begin
tohutu,enormous
clay,clay
sheppard,Sheppard
rünnak,attack
vastas,opposite
seadus,law
mõistsin,understood
lõunat,lunch
peol,at the party
sõbrale,friend
paljusid,many
väidab,says
minutiga,in minutes
põhjal,on the basis of
võitsid,won
kõigega,everything
kutsusin,I invited
piisa,enough
aastas,annually
itaalia,Italy
kasutad,you use
sita,SITA
suurte,large
ameeriklased,Americans
stan,stan
ilu,beauty
miskit,something
nimetatakse,called
rohkemat,more
arve,bill
lou,lou
püüad,try
tunneme,we feel
küsisid,asked
kohtun,meet with
nate,Nate
jooma,drink
pettunud,disappointed
mälestused,reminiscences
keskus,center
selliseks,such a
istud,sit down
peamine,main
asukoht,seat
teistega,others
pannakse,placed
arvama,think
kusagile,somewhere
sunnitud,forced
olivia,olivia
tunnevad,feel
puhkama,rest
mulje,impression
mõistma,understand
leiate,find
viskan,throw
jõu,force
paberid,papers
üha,ever
panka,the bank
keskkooli,high school
ajasid,chased
rick,rick
kuuldel,Tuned
targem,smarter
arvasingi,thought
vihma,rain
admiral,admiral
sonny,sonny
gei,gay
tõelised,real
hirmul,scared
järgmist,the next
ron,ron
suust,mouth
lolliks,a fool
vastab,meets
parata,prevail
puhkust,vacation
tahtma,want
suudate,you can
sobiv,suitable
amanda,amanda
rahaga,the money
hispaania,Spanish
omaks,embrace
kiirustage,hurry
saatuse,destiny
heli,sound
rühma,group
nõnda,so
sõrme,finger
laeval,aboard
viirus,virus
fänn,fan
mõttetu,senseless
kõnni,walking
preester,priest
omaette,separately
kasti,the box
halbu,bad
praeguseks,now
õpi,learn
arm,grace
joonud,drunk
protsenti,percent
hank,Hank
vihaseks,wroth
karjääri,career
lahkumist,leaving
püüdnud,tried
näitleja,actor
magasin,magasin
suurema,more
hot,Hot
võtate,take
millegagi,something
gordon,gordon
puruks,smashed
piiratud,limited
patrick,patrick
raskem,harder
tegutsema,act
hommikut,the morning
hoolin,care about
põleb,on fire
käitud,behave
magad,sleep
puhka,rest
ühendriikide,US
valisid,Played
saamiseks,please
rita,rita
varas,thief
test,test
tüdrukute,girls
pandi,was put
dexter,Dexter
haigeks,ill
õhtuks,for the evening
joogi,drinking
teadmata,unknowingly
tahtsime,wanted
paremad,better
lahendus,solution
tunnis,per hour
austust,glory
õnnetu,unhappy
usaldan,trust
jajah,Jajah
meetri,meter
tänapäeval,Nowadays
subtitle,Subtitle
kaardi,map
peaga,head
üritasid,tried
jedi,Jedi
ethan,Ethan
vastanud,answered
aitasid,helped
kuulad,listening to
untranslated,untranslated
null,zero
taluda,withstand
igatsesin,missed
peitu,into hiding
andmeid,data
telekas,goggle-box
maitsev,delicious
täiskasvanud,adults
leping,agreement
detektiiv,detective
kahtlemata,undoubtedly
hetkest,moment
hüpata,jump
jalaga,leg
uttu,fog
veidike,bit
algul,at first
metsik,ferocious
puud,trees
tegeleme,We deal
võtaksid,take
võidu,victory
avaldada,published
homer,Homer
lõigata,cut off
tänase,today
teistmoodi,otherwise
tõusta,up
tunnista,recognize
sarnane,similar
sugugi,by no means
numbrid,numbers
derek,derek
zoe,Zoe
poes,in the shop
rünnata,attack
kätega,hands
peita,hide
vabad,free
jacki,Jack's
patsient,patient
madam,madam
peatama,halt
tahes,whatever
armastada,to love
baaris,bar
ricky,ricky
taeva,heaven
vast,from
elasid,lived in
südamest,from the heart
josh,josh
ruum,room
astuma,join
praegusel,current
sid,sid
